id;Contact1;Contact2;Type;;dextra//sinistra;up//down;normal//antagonist
0;RT9;RT16;110;;d;u;n
1;RT3;RT2;110;;d;u;n
2;RT1;RT6;110;;d;u;n
3;RT6;RT8;1000;;n;u;n
4;RT7;RB5;110;;d;u;n
5;RT14;RT15;111;;d;u;a
6;RT4;RT13;111;;d;u;a
7;RT13;RT8;1000;;n;u;a
8;RT8;RT10;1000;;n;u;a
9;RT1;RT10;111;;d;u;a
10;RT10;RT11;111;;d;u;a
11;RT11;RB8;111;;d;u;a
12;LT1;LT8;10;;s;u;n
13;LT14;LT15;10;;s;u;n
14;LT16;LT11;10;;s;u;n
15;LT11;LT9;1000;;n;u;n
16;LT10;LB12;10;;s;u;n
17;LT3;LT2;11;;s;u;a
18;LT4;LT13;11;;s;u;a
19;LT7;LT16;11;;s;u;a
20;LT7;LT9;1000;;n;u;a
21;LT7;LT6;11;;s;u;a
22;LT6;LB9;11;;s;u;a
23;LT4;LT9;1000;;n;u;a
24;RB6;RB16;100;;d;d;n
25;RB2;RB11;100;;d;d;n
26;RB12;RB11;100;;d;d;n
27;RB9;RB10;100;;d;d;n
28;RB8;RB3;101;;d;d;a
29;RB7;RB1;101;;d;d;a
30;RB1;RB13;101;;d;d;a
31;RB14;RB15;101;;d;d;a
32;LB11;LB1;0;;s;d;n
33;LB5;LB6;0;;s;d;n
34;LB6;LB15;0;;s;d;n
35;LB7;LB8;0;;s;d;n
36;LB9;LB14;1;;s;d;a
37;LB10;LB16;1;;s;d;a
38;LB16;LB4;1;;s;d;a
39;LB3;LB2;1;;s;d;a
